label_idx,OT_true,exog_temp,emb_cluster
40183,172.44,-16.41,0
40184,157.64,-16.41,0
40185,161.98,-16.41,0
40186,168.81,-16.41,0
40187,164.9,-16.41,0
40188,154.44,-16.41,0
40189,136.66,-16.41,0
40190,139.93,-16.41,0
40191,136.73,-16.41,0
40192,131.99,-16.41,0
40193,133.1,-16.41,0
40194,123.25,-16.46,0
40195,116.4,-16.47,0
40196,110.0,-16.51,0
40197,107.17,-16.51,0
40198,109.88,-16.51,0
40199,105.06,-16.51,0
40200,105.49,-16.51,0
40201,110.06,-16.58,0
40138,623.22,-15.45,0
40137,548.9,-15.41,0
40136,655.38,-15.41,0
40135,700.39,-15.41,0
40063,767.74,-14.55,0
40064,611.67,-14.51,0
40065,651.28,-14.52,0
40066,734.6,-14.57,0
40067,697.66,-14.59,0
40068,708.76,-14.6,0
40069,864.64,-14.63,0
40070,929.52,-14.66,0
40062,707.92,-14.51,0
40071,926.9,-14.66,0
40073,908.97,-14.74,0
40074,935.72,-14.67,0
40075,1032.35,-14.59,0
40076,863.67,-14.51,0
40077,808.87,-14.46,0
40078,1049.71,-14.51,0
40079,938.79,-14.51,0
40080,982.16,-14.46,0
40072,1023.25,-14.71,0
40061,744.33,-14.51,0
40060,629.39,-14.47,0
40059,725.97,-14.48,0
40041,1072.97,-13.99,0
40042,1035.91,-14.0,0
40043,907.65,-14.01,0
40044,947.48,-14.07,0
40045,987.54,-14.05,0
40046,550.46,-14.03,0
40047,355.33,-14.1,0
40048,344.59,-14.18,0
40049,456.63,-14.21,0
40050,662.58,-14.21,0
40051,577.64,-14.21,0
40052,465.03,-14.21,0
40053,502.73,-14.21,0
40054,804.71,-14.29,0
40055,725.28,-14.31,0
40056,959.7,-14.39,0
37171,1598.55,-7.93,0
40057,838.47,-14.41,0
40058,916.5,-14.48,0
40081,1086.87,-14.48,0
40039,888.51,-13.99,0
40082,947.44,-14.41,0
40084,1114.47,-14.54,0
40109,936.69,-15.21,0
40110,868.91,-15.24,0
40111,830.72,-15.26,0
40112,878.92,-15.21,0
40113,858.38,-15.15,0
40114,911.99,-15.14,0
40115,1189.99,-15.2,0
40116,1018.41,-15.02,0
40108,993.48,-15.27,0
40117,941.98,-14.98,0
37107,1870.5,-7.26,0
37106,1544.47,-7.13,0
37105,717.07,-7.04,0
40130,949.49,-15.31,0
40131,702.44,-15.31,0
40132,561.14,-15.31,0
40133,523.4,-15.36,0
40134,677.46,-15.38,0
40118,1094.16,-15.02,0
40107,947.1,-15.21,0
40106,893.15,-15.26,0
40105,977.19,-15.31,0
40085,1085.9,-14.62,0
40086,889.85,-14.62,0
40088,1191.3,-14.76,0
40089,913.07,-14.79,0
40090,1052.16,-14.88,0
40091,1035.43,-14.91,0
40092,875.91,-14.91,0
40093,974.87,-14.98,0
40094,992.07,-15.01,0
40095,1040.02,-15.02,0
40096,1075.83,-15.08,0
40097,964.69,-15.11,0
40098,773.89,-15.11,0
40099,872.66,-15.12,0
40100,812.45,-15.17,0
40101,828.56,-15.21,0
40102,867.37,-15.19,0
40103,948.41,-15.21,0
40104,1004.92,-15.26,0
40083,1002.93,-14.44,0
39813,1135.7,-11.04,0
39812,1145.32,-11.14,0
39811,1393.53,-11.0,0
39545,-5.94,-12.26,0
39546,-5.37,-12.3,0
39547,-5.37,-12.48,0
39548,-5.14,-12.13,0
39549,-6.28,-12.06,0
39550,-6.0,-12.0,0
39551,-6.11,-11.57,0
39552,-6.06,-12.0,0
39544,-5.52,-11.74,0
39553,-5.14,-12.28,0
39555,-9.91,-12.18,0
39556,-4.65,-12.49,0
39557,-5.2,-12.37,0
39558,-5.08,-12.25,0
39559,-5.6,-11.81,0
39560,-5.31,-11.78,0
39561,-4.8,-11.67,0
39562,-4.57,-11.76,0
39554,-6.85,-11.97,0
39563,-5.2,-11.68,0
39543,-5.63,-11.25,0
39541,-5.32,-12.26,0
39523,-5.32,-11.94,0
39524,-5.54,-11.52,0
39525,-5.2,-11.22,0
